graph,algo,mode,access,activation,backend,platform,time_s,iterations,unreachable,edges
datasets/email-Eu-core.edgelist,bfs,sync,push,topo,gpu,Jetson,0.043365,5,,
datasets/email-Eu-core.edgelist,bfs,sync,push,data,gpu,Jetson,0.043649,5,,
datasets/email-Eu-core.edgelist,bfs,sync,pull,topo,gpu,Jetson,0.043556,5,,
datasets/email-Eu-core.edgelist,bfs,sync,pull,data,gpu,Jetson,0.043405,5,,
datasets/email-Eu-core.edgelist,bfs,async,push,topo,gpu,Jetson,0.043966,5,,
datasets/email-Eu-core.edgelist,bfs,async,push,data,gpu,Jetson,0.045054,4,40,
datasets/email-Eu-core.edgelist,bfs,async,pull,topo,gpu,Jetson,0.043699,5,,
datasets/email-Eu-core.edgelist,bfs,async,pull,data,gpu,Jetson,0.045361,4,40,
datasets/email-Eu-core.edgelist,sssp,sync,push,topo,gpu,Jetson,0.017531,0,,
datasets/email-Eu-core.edgelist,sssp,sync,push,data,gpu,Jetson,0.017741,0,,
datasets/email-Eu-core.edgelist,sssp,sync,pull,topo,gpu,Jetson,0.017645,0,,
datasets/email-Eu-core.edgelist,sssp,sync,pull,data,gpu,Jetson,0.017709,0,,
datasets/email-Eu-core.edgelist,sssp,async,push,topo,gpu,Jetson,0.017518,0,,
datasets/email-Eu-core.edgelist,sssp,async,push,data,gpu,Jetson,0.017598,0,,
datasets/email-Eu-core.edgelist,sssp,async,pull,topo,gpu,Jetson,0.017444,0,,
datasets/email-Eu-core.edgelist,sssp,async,pull,data,gpu,Jetson,0.017453,0,,
datasets/email-Eu-core.edgelist,pagerank,sync,push,topo,gpu,Jetson,0.380974,20,,
datasets/email-Eu-core.edgelist,pagerank,sync,pull,topo,gpu,Jetson,0.38048,20,,
datasets/email-Eu-core.edgelist,pagerank,async,push,data,gpu,Jetson,0.381462,20,,
datasets/email-Eu-core.edgelist,pagerank,async,pull,data,gpu,Jetson,0.38281,20,,
datasets/roadNet-PA.edgelist,bfs,sync,push,topo,gpu,Jetson,11.906809,542,,
datasets/roadNet-PA.edgelist,bfs,sync,push,data,gpu,Jetson,11.881947,542,,
datasets/roadNet-PA.edgelist,bfs,sync,pull,topo,gpu,Jetson,11.678139,542,,
datasets/roadNet-PA.edgelist,bfs,sync,pull,data,gpu,Jetson,11.769567,542,,
datasets/roadNet-PA.edgelist,bfs,async,push,topo,gpu,Jetson,11.884556,542,,
datasets/roadNet-PA.edgelist,bfs,async,push,data,gpu,Jetson,13.31535,541,530,
datasets/roadNet-PA.edgelist,bfs,async,pull,topo,gpu,Jetson,11.737164,542,,
datasets/roadNet-PA.edgelist,bfs,async,pull,data,gpu,Jetson,13.399162,541,530,
datasets/roadNet-PA.edgelist,sssp,sync,push,topo,gpu,Jetson,8.198604,0,,
datasets/roadNet-PA.edgelist,sssp,sync,push,data,gpu,Jetson,8.261362,0,,
datasets/roadNet-PA.edgelist,sssp,sync,pull,topo,gpu,Jetson,8.223936,0,,
datasets/roadNet-PA.edgelist,sssp,sync,pull,data,gpu,Jetson,8.222864,0,,
datasets/roadNet-PA.edgelist,sssp,async,push,topo,gpu,Jetson,8.223313,0,,
datasets/roadNet-PA.edgelist,sssp,async,push,data,gpu,Jetson,8.249834,0,,
datasets/roadNet-PA.edgelist,sssp,async,pull,topo,gpu,Jetson,8.230797,0,,
datasets/roadNet-PA.edgelist,sssp,async,pull,data,gpu,Jetson,8.252772,0,,
datasets/roadNet-PA.edgelist,pagerank,sync,push,topo,gpu,Jetson,143.143151,20,,
datasets/roadNet-PA.edgelist,pagerank,sync,pull,topo,gpu,Jetson,142.130763,20,,
datasets/roadNet-PA.edgelist,pagerank,async,push,data,gpu,Jetson,142.775898,20,,
datasets/roadNet-PA.edgelist,pagerank,async,pull,data,gpu,Jetson,141.610852,20,,
