graph,algo,mode,access,activation,backend,platform,time_s,iterations,unreachable,edges,rss_MB,cpu_pct,avg_watt
datasets/CA-GrQc.edgelist,bfs,sync,push,topo,cpu,Jetson,0.375688,11.0,,26850.0,185.7,97.4,1.01
datasets/CA-GrQc.edgelist,bfs,sync,push,data,cpu,Jetson,0.372645,11.0,,26850.0,185.7,93.2,1.01
datasets/CA-GrQc.edgelist,bfs,sync,pull,topo,cpu,Jetson,0.954444,6.0,,0.0,185.8,95.7,1.88
datasets/CA-GrQc.edgelist,bfs,sync,pull,data,cpu,Jetson,0.956794,6.0,,0.0,185.8,93.1,1.73
datasets/CA-GrQc.edgelist,bfs,async,push,topo,cpu,Jetson,0.528338,4158.0,,26850.0,185.8,95.2,1.56
datasets/CA-GrQc.edgelist,bfs,async,push,data,cpu,Jetson,0.538471,4158.0,,26850.0,185.8,98.4,1.54
datasets/CA-GrQc.edgelist,bfs,async,pull,topo,cpu,Jetson,1.030678,5.0,,4157.0,185.8,99.7,1.75
datasets/CA-GrQc.edgelist,bfs,async,pull,data,cpu,Jetson,1.033327,5.0,,4157.0,185.8,92.5,1.8
datasets/CA-GrQc.edgelist,sssp,sync,push,topo,cpu,Jetson,0.953405,11.0,1084.0,26850.0,185.8,93.6,1.85
datasets/CA-GrQc.edgelist,sssp,sync,push,data,cpu,Jetson,0.973916,11.0,1084.0,26850.0,185.8,101.8,1.88
datasets/CA-GrQc.edgelist,sssp,sync,pull,topo,cpu,Jetson,1.363508,5.0,1084.0,4157.0,185.8,95.6,1.79
datasets/CA-GrQc.edgelist,sssp,sync,pull,data,cpu,Jetson,1.408476,5.0,1084.0,4157.0,185.8,95.1,1.85
datasets/CA-GrQc.edgelist,sssp,async,push,topo,cpu,Jetson,1.038815,4158.0,1084.0,26850.0,185.8,103.3,1.78
datasets/CA-GrQc.edgelist,sssp,async,push,data,cpu,Jetson,1.042029,4158.0,1084.0,26850.0,185.8,98.8,1.79
datasets/CA-GrQc.edgelist,sssp,async,pull,topo,cpu,Jetson,1.047285,5.0,1084.0,4157.0,185.8,91.9,1.79
datasets/CA-GrQc.edgelist,sssp,async,pull,data,cpu,Jetson,1.035322,5.0,1084.0,4157.0,185.8,92.6,1.79
datasets/CA-GrQc.edgelist,pagerank,sync,pull,topo,cpu,Jetson,124.873664,20.0,,579600.0,186.0,100.2,2.28
datasets/CA-GrQc.edgelist,pagerank,sync,pull,data,cpu,Jetson,125.106785,20.0,,579600.0,186.0,100.4,2.29
datasets/CA-GrQc.edgelist,pagerank,async,push,topo,cpu,Jetson,2.456483,27525.0,,279266.0,186.0,97.1,2.12
datasets/CA-GrQc.edgelist,pagerank,async,push,data,cpu,Jetson,2.435139,27525.0,,279266.0,186.0,97.7,2.19
datasets/CA-GrQc.edgelist,pagerank,async,pull,topo,cpu,Jetson,2.422556,27525.0,,279266.0,186.0,97.6,2.12
datasets/CA-GrQc.edgelist,pagerank,async,pull,data,cpu,Jetson,2.446109,27525.0,,279266.0,186.0,103.1,2.12
datasets/ca-GrQc.edgelist,bfs,sync,push,topo,cpu,Jetson,0.37194,11.0,,26850.0,187.2,91.5,1.05
datasets/ca-GrQc.edgelist,bfs,sync,push,data,cpu,Jetson,0.379473,11.0,,26850.0,187.2,86.4,1.05
datasets/ca-GrQc.edgelist,bfs,sync,pull,topo,cpu,Jetson,0.955768,6.0,,0.0,187.2,88.9,1.82
datasets/ca-GrQc.edgelist,bfs,sync,pull,data,cpu,Jetson,0.952901,6.0,,0.0,187.2,96.7,1.96
datasets/ca-GrQc.edgelist,bfs,async,push,topo,cpu,Jetson,0.528324,4158.0,,26850.0,187.3,87.6,1.85
datasets/ca-GrQc.edgelist,bfs,async,push,data,cpu,Jetson,0.530861,4158.0,,26850.0,187.3,99.2,1.63
