graph,algo,mode,access,activation,backend,platform,time_s,iterations,unreachable,edges,rss_MB,cpu_pct,avg_watt
datasets/CA-GrQc.edgelist,bfs,sync,push,topo,cpu,Jetson,0.38498,11.0,,26850.0,187.6,0.0,
datasets/CA-GrQc.edgelist,bfs,sync,push,data,cpu,Jetson,0.39246,11.0,,26850.0,187.6,0.0,
datasets/CA-GrQc.edgelist,bfs,sync,pull,topo,cpu,Jetson,0.982235,6.0,,0.0,187.6,0.0,
datasets/CA-GrQc.edgelist,bfs,sync,pull,data,cpu,Jetson,0.971665,6.0,,0.0,187.6,0.0,
datasets/CA-GrQc.edgelist,bfs,async,push,topo,cpu,Jetson,0.540515,4158.0,,26850.0,187.6,0.0,
datasets/CA-GrQc.edgelist,bfs,async,push,data,cpu,Jetson,0.538836,4158.0,,26850.0,187.6,0.0,
datasets/CA-GrQc.edgelist,bfs,async,pull,topo,cpu,Jetson,1.047723,5.0,,4157.0,187.6,0.0,
datasets/CA-GrQc.edgelist,bfs,async,pull,data,cpu,Jetson,1.056859,5.0,,4157.0,187.6,0.0,
datasets/CA-GrQc.edgelist,sssp,sync,push,topo,cpu,Jetson,0.944389,11.0,1084.0,26850.0,187.6,0.0,
datasets/CA-GrQc.edgelist,sssp,sync,push,data,cpu,Jetson,0.950075,11.0,1084.0,26850.0,187.6,0.0,
datasets/CA-GrQc.edgelist,sssp,sync,pull,topo,cpu,Jetson,1.367198,5.0,1084.0,4157.0,187.6,0.0,
datasets/CA-GrQc.edgelist,sssp,sync,pull,data,cpu,Jetson,1.365732,5.0,1084.0,4157.0,187.6,0.0,
datasets/CA-GrQc.edgelist,sssp,async,push,topo,cpu,Jetson,1.048441,4158.0,1084.0,26850.0,187.6,0.0,
datasets/CA-GrQc.edgelist,sssp,async,push,data,cpu,Jetson,1.031427,4158.0,1084.0,26850.0,187.6,0.0,
datasets/CA-GrQc.edgelist,sssp,async,pull,topo,cpu,Jetson,1.044297,5.0,1084.0,4157.0,187.6,0.0,
datasets/CA-GrQc.edgelist,sssp,async,pull,data,cpu,Jetson,1.04707,5.0,1084.0,4157.0,187.6,0.0,
datasets/CA-GrQc.edgelist,pagerank,sync,pull,topo,cpu,Jetson,,,,,187.6,,
datasets/CA-GrQc.edgelist,pagerank,sync,pull,data,cpu,Jetson,,,,,187.6,,
datasets/email-Eu-core.edgelist,bfs,sync,push,topo,cpu,Jetson,0.305611,5.0,,25516.0,188.1,0.0,
datasets/email-Eu-core.edgelist,bfs,sync,push,data,cpu,Jetson,0.311165,5.0,,25516.0,188.1,0.0,
datasets/email-Eu-core.edgelist,bfs,sync,pull,topo,cpu,Jetson,0.06314,0.6,,0.0,188.1,0.0,
datasets/email-Eu-core.edgelist,bfs,sync,pull,data,cpu,Jetson,0.061712,0.6,,0.0,188.1,0.0,
datasets/email-Eu-core.edgelist,bfs,async,push,topo,cpu,Jetson,0.349168,965.0,,25516.0,188.1,0.0,
datasets/email-Eu-core.edgelist,bfs,async,push,data,cpu,Jetson,0.357004,965.0,,25516.0,188.1,0.0,
datasets/email-Eu-core.edgelist,bfs,async,pull,topo,cpu,Jetson,0.076977,0.5,,205.25,188.1,0.0,
datasets/email-Eu-core.edgelist,bfs,async,pull,data,cpu,Jetson,0.079079,0.5,,205.25,188.1,0.0,
datasets/email-Eu-core.edgelist,sssp,sync,push,topo,cpu,Jetson,0.808622,5.0,40.0,25516.0,188.1,0.0,
datasets/email-Eu-core.edgelist,sssp,sync,push,data,cpu,Jetson,0.8206,5.0,40.0,25516.0,188.1,0.0,
datasets/email-Eu-core.edgelist,sssp,sync,pull,topo,cpu,Jetson,0.091521,0.5,45.75,205.25,188.1,0.0,
datasets/email-Eu-core.edgelist,sssp,sync,pull,data,cpu,Jetson,0.088447,0.5,45.75,205.25,188.1,0.0,
datasets/email-Eu-core.edgelist,sssp,async,push,topo,cpu,Jetson,0.821066,965.0,40.0,25516.0,188.1,0.0,
datasets/email-Eu-core.edgelist,sssp,async,push,data,cpu,Jetson,0.816016,965.0,40.0,25516.0,188.1,0.0,
datasets/email-Eu-core.edgelist,sssp,async,pull,topo,cpu,Jetson,0.078066,0.5,45.75,205.25,188.1,0.0,
datasets/email-Eu-core.edgelist,sssp,async,pull,data,cpu,Jetson,0.080181,0.5,45.75,205.25,188.1,0.0,
datasets/email-Eu-core.edgelist,pagerank,sync,pull,topo,cpu,Jetson,23.241958,20.0,,511420.0,188.1,0.0,
datasets/email-Eu-core.edgelist,pagerank,sync,pull,data,cpu,Jetson,23.231042,20.0,,511420.0,188.1,0.0,
datasets/roadNet-PA.edgelist,bfs,sync,push,topo,cpu,Jetson,58.508387,593.0,,3083028.0,249.2,0.0,
datasets/roadNet-PA.edgelist,bfs,sync,push,data,cpu,Jetson,57.615237,593.0,,3083028.0,249.2,0.0,
datasets/roadNet-PA.edgelist,bfs,sync,pull,topo,cpu,Jetson,,,,,249.2,,
datasets/roadNet-PA.edgelist,bfs,sync,pull,data,cpu,Jetson,,,,,249.2,,
datasets/roadNet-PA.edgelist,bfs,async,push,topo,cpu,Jetson,96.141335,1087562.0,,3083028.0,249.2,0.0,
datasets/roadNet-PA.edgelist,bfs,async,push,data,cpu,Jetson,96.015861,1087562.0,,3083028.0,249.2,0.0,
datasets/roadNet-PA.edgelist,bfs,async,pull,topo,cpu,Jetson,,,,,249.2,,
