graph,algo,mode,access,activation,backend,platform,time_s,iterations,unreachable,edges,rss_MB,cpu_pct,avg_watt
datasets/ca-GrQc.edgelist,bfs,sync,push,topo,cpu,Jetson,0.078199,12,,26850,73.8,0.0,0.92
datasets/ca-GrQc.edgelist,bfs,sync,push,data,cpu,Jetson,0.080607,12,,26850,73.8,9.8,0.92
datasets/ca-GrQc.edgelist,bfs,sync,pull,topo,cpu,Jetson,0.078968,12,,26850,73.8,0.0,0.96
datasets/ca-GrQc.edgelist,bfs,sync,pull,data,cpu,Jetson,0.078915,12,,26850,73.9,0.0,0.88
datasets/ca-GrQc.edgelist,bfs,async,push,topo,cpu,Jetson,0.079217,12,,26850,73.9,0.0,1.01
datasets/ca-GrQc.edgelist,bfs,async,push,data,cpu,Jetson,0.088142,11,1084,26850,73.9,0.0,0.92
datasets/ca-GrQc.edgelist,bfs,async,pull,topo,cpu,Jetson,0.079861,12,,26850,73.9,0.0,1.25
datasets/ca-GrQc.edgelist,bfs,async,pull,data,cpu,Jetson,0.0833,11,1084,26850,73.9,0.0,1.79
datasets/ca-GrQc.edgelist,sssp,sync,push,topo,cpu,Jetson,0.045583,0,,26850,73.9,0.0,0.92
datasets/ca-GrQc.edgelist,sssp,sync,push,data,cpu,Jetson,0.045059,0,,26850,73.9,0.0,0.92
datasets/ca-GrQc.edgelist,sssp,sync,pull,topo,cpu,Jetson,0.044781,0,,26850,73.9,0.0,1.5
datasets/ca-GrQc.edgelist,sssp,sync,pull,data,cpu,Jetson,0.046148,0,,26850,73.9,0.0,0.96
datasets/ca-GrQc.edgelist,sssp,async,push,topo,cpu,Jetson,0.045777,0,,26850,73.9,0.0,0.92
datasets/ca-GrQc.edgelist,sssp,async,push,data,cpu,Jetson,0.047037,0,,26850,73.9,0.0,1.5
datasets/ca-GrQc.edgelist,sssp,async,pull,topo,cpu,Jetson,0.044813,0,,26850,73.9,0.0,0.92
datasets/ca-GrQc.edgelist,sssp,async,pull,data,cpu,Jetson,0.045849,0,,26850,73.9,0.0,0.88
datasets/ca-GrQc.edgelist,pagerank,sync,pull,topo,cpu,Jetson,0.760112,26606,,242646,74.1,0.0,1.67
datasets/ca-GrQc.edgelist,pagerank,async,push,data,cpu,Jetson,0.735837,26606,,242646,74.1,0.0,1.98
datasets/ca-GrQc.edgelist,pagerank,async,pull,data,cpu,Jetson,0.734814,26606,,242646,74.1,0.0,1.68
datasets/email-Eu-core.edgelist,bfs,sync,push,topo,cpu,Jetson,0.051497,5,,25516,69.1,9.8,0.92
datasets/email-Eu-core.edgelist,bfs,sync,push,data,cpu,Jetson,0.050472,5,,25516,69.0,0.0,1.05
