graph,algo,mode,access,activation,backend,platform,time_s,iterations,unreachable,edges,rss_MB,cpu_pct,avg_watt
datasets/CA-GrQc.edgelist,bfs,sync,push,topo,gpu,Jetson,0.048492,1.4285714285714286,154.85714285714286,3835.714285714286,2099.1,65.1,2.08
datasets/CA-GrQc.edgelist,bfs,sync,push,data,gpu,Jetson,0.04929,1.4285714285714286,154.85714285714286,3835.714285714286,2099.3,65.3,2.08
datasets/CA-GrQc.edgelist,bfs,sync,pull,topo,gpu,Jetson,0.050378,1.6666666666666667,180.66666666666666,4475.0,2099.3,62.8,
datasets/CA-GrQc.edgelist,bfs,sync,pull,data,gpu,Jetson,0.050006,1.6666666666666667,180.66666666666666,4475.0,2099.4,66.2,1.67
datasets/CA-GrQc.edgelist,bfs,async,push,topo,gpu,Jetson,14.958178,11.0,1084.0,26850.0,2100.9,88.0,2.64
datasets/CA-GrQc.edgelist,bfs,async,push,data,gpu,Jetson,14.917635,11.0,1084.0,26850.0,2100.9,88.3,2.65
datasets/CA-GrQc.edgelist,bfs,async,pull,topo,gpu,Jetson,26.491093,6.0,1084.0,38859.0,2101.2,86.2,2.67
datasets/CA-GrQc.edgelist,bfs,async,pull,data,gpu,Jetson,26.473643,6.0,1084.0,38859.0,2101.2,86.5,2.67
datasets/CA-GrQc.edgelist,sssp,sync,push,topo,gpu,Jetson,0.02238,0.7857142857142857,,22770.0,2101.2,68.0,1.59
datasets/CA-GrQc.edgelist,sssp,sync,push,data,gpu,Jetson,0.029109,1.0,,28980.0,2101.2,56.8,1.59
datasets/CA-GrQc.edgelist,sssp,sync,pull,topo,gpu,Jetson,0.029244,1.0,,28980.0,2101.2,62.4,1.59
datasets/CA-GrQc.edgelist,sssp,sync,pull,data,gpu,Jetson,0.028825,1.0,,28980.0,2101.2,59.6,1.59
datasets/CA-GrQc.edgelist,sssp,async,push,topo,gpu,Jetson,0.029343,1.0,,28980.0,2101.2,59.6,1.59
datasets/CA-GrQc.edgelist,sssp,async,push,data,gpu,Jetson,0.029118,1.0,,28980.0,2101.2,56.7,1.55
datasets/CA-GrQc.edgelist,sssp,async,pull,topo,gpu,Jetson,0.028667,1.0,,28980.0,2101.2,62.5,1.59
datasets/CA-GrQc.edgelist,sssp,async,pull,data,gpu,Jetson,0.028941,1.0,,28980.0,2101.2,59.7,1.59
datasets/CA-GrQc.edgelist,pagerank,sync,pull,topo,gpu,Jetson,0.015257,1.0,,28980.0,2103.2,73.8,1.59
datasets/CA-GrQc.edgelist,pagerank,sync,pull,data,gpu,Jetson,0.014008,0.9090909090909091,,26345.454545454544,2103.2,76.7,1.63
datasets/email-Eu-core.edgelist,bfs,sync,push,topo,gpu,Jetson,0.02512,0.3333333333333333,3.3333333333333335,2126.3333333333335,2109.1,62.9,1.59
datasets/email-Eu-core.edgelist,bfs,sync,push,data,gpu,Jetson,0.025189,0.3333333333333333,3.3333333333333335,2126.3333333333335,2109.1,66.1,1.59
datasets/email-Eu-core.edgelist,bfs,sync,pull,topo,gpu,Jetson,0.025508,0.3333333333333333,15.25,2063.4166666666665,2109.1,51.0,1.01
datasets/email-Eu-core.edgelist,bfs,sync,pull,data,gpu,Jetson,0.025321,0.3333333333333333,15.25,2063.4166666666665,2109.1,66.2,1.05
datasets/email-Eu-core.edgelist,bfs,async,push,topo,gpu,Jetson,10.762406,5.0,40.0,25516.0,2109.1,87.8,2.63
datasets/email-Eu-core.edgelist,bfs,async,push,data,gpu,Jetson,10.806723,5.0,40.0,25516.0,2109.1,88.1,2.63
datasets/email-Eu-core.edgelist,bfs,async,pull,topo,gpu,Jetson,1.798392,3.0,40.0,1727.0,2109.1,85.9,2.45
datasets/email-Eu-core.edgelist,bfs,async,pull,data,gpu,Jetson,1.810538,3.0,40.0,1727.0,2109.1,86.5,2.43
datasets/email-Eu-core.edgelist,sssp,sync,push,topo,gpu,Jetson,0.009534,0.15625,,3995.46875,2109.1,89.2,1.63
datasets/email-Eu-core.edgelist,sssp,sync,push,data,gpu,Jetson,0.010912,0.17857142857142858,,4566.25,2109.1,71.0,1.59
datasets/email-Eu-core.edgelist,sssp,sync,pull,topo,gpu,Jetson,0.013211,0.21739130434782608,,5558.913043478261,2109.1,69.5,1.59
datasets/email-Eu-core.edgelist,sssp,sync,pull,data,gpu,Jetson,0.01018,0.16666666666666666,,4261.833333333333,2109.1,76.7,1.67
datasets/email-Eu-core.edgelist,sssp,async,push,topo,gpu,Jetson,0.012954,0.20833333333333334,,5327.291666666667,2109.1,59.5,1.59
datasets/email-Eu-core.edgelist,sssp,async,push,data,gpu,Jetson,0.013268,0.21739130434782608,,5558.913043478261,2109.1,62.9,1.59
datasets/email-Eu-core.edgelist,sssp,async,pull,topo,gpu,Jetson,0.012205,0.2,,5114.2,2109.1,72.8,1.63
datasets/email-Eu-core.edgelist,sssp,async,pull,data,gpu,Jetson,0.009025,0.14705882352941177,,3760.4411764705883,2109.1,85.0,1.63
datasets/email-Eu-core.edgelist,pagerank,sync,pull,topo,gpu,Jetson,0.013472,0.8695652173913043,,22235.652173913044,2109.1,82.4,1.63
datasets/email-Eu-core.edgelist,pagerank,sync,pull,data,gpu,Jetson,0.015554,1.0,,25571.0,2109.1,70.9,1.59
