graph,algo,mode,access,activation,backend,platform,time_s,iterations,unreachable,edges,rss_MB,cpu_pct,avg_watt
datasets/CA-GrQc.edgelist,bfs,sync,push,topo,gpu,Jetson,1.392263,10.0,1084.0,26850.0,1062.9,67.0,
datasets/CA-GrQc.edgelist,bfs,sync,push,data,gpu,Jetson,0.970523,10.0,1084.0,26850.0,1039.6,61.3,
datasets/CA-GrQc.edgelist,bfs,sync,pull,topo,gpu,Jetson,0.982203,10.0,1084.0,26850.0,1031.2,59.2,
datasets/CA-GrQc.edgelist,bfs,sync,pull,data,gpu,Jetson,1.054639,10.0,1084.0,26850.0,1025.4,63.0,
datasets/CA-GrQc.edgelist,bfs,async,push,topo,gpu,Jetson,16.247988,11.0,1084.0,26850.0,1018.6,72.5,
datasets/CA-GrQc.edgelist,bfs,async,push,data,gpu,Jetson,15.465402,11.0,1084.0,26850.0,1000.1,74.3,
datasets/CA-GrQc.edgelist,bfs,async,pull,topo,gpu,Jetson,27.209209,6.0,1084.0,38859.0,999.4,77.6,
datasets/CA-GrQc.edgelist,bfs,async,pull,data,gpu,Jetson,26.838602,6.0,1084.0,38859.0,992.6,78.4,
datasets/CA-GrQc.edgelist,sssp,sync,push,topo,gpu,Jetson,0.88129,11.0,,318780.0,981.4,64.1,
datasets/CA-GrQc.edgelist,sssp,sync,push,data,gpu,Jetson,0.737893,11.0,,318780.0,973.3,68.4,
datasets/CA-GrQc.edgelist,sssp,sync,pull,topo,gpu,Jetson,0.472581,11.0,,318780.0,971.9,64.2,
datasets/CA-GrQc.edgelist,sssp,sync,pull,data,gpu,Jetson,1.068316,11.0,,318780.0,970.1,61.3,
datasets/CA-GrQc.edgelist,sssp,async,push,topo,gpu,Jetson,0.519701,11.0,,318780.0,970.5,66.8,
datasets/CA-GrQc.edgelist,sssp,async,push,data,gpu,Jetson,0.332817,11.0,,318780.0,968.1,65.3,
datasets/CA-GrQc.edgelist,sssp,async,pull,topo,gpu,Jetson,0.911376,11.0,,318780.0,964.6,65.6,
datasets/CA-GrQc.edgelist,sssp,async,pull,data,gpu,Jetson,0.446229,11.0,,318780.0,962.5,67.0,
datasets/CA-GrQc.edgelist,pagerank,sync,pull,topo,gpu,Jetson,1.10521,20.0,,579600.0,962.1,61.2,
datasets/CA-GrQc.edgelist,pagerank,sync,pull,data,gpu,Jetson,1.046961,20.0,,579600.0,960.6,64.3,
datasets/email-Eu-core.edgelist,bfs,sync,push,topo,gpu,Jetson,1.195957,4.0,40.0,25516.0,983.6,62.0,
datasets/email-Eu-core.edgelist,bfs,sync,push,data,gpu,Jetson,0.721924,4.0,40.0,25516.0,949.8,65.4,
datasets/email-Eu-core.edgelist,bfs,sync,pull,topo,gpu,Jetson,0.902493,4.0,183.0,24761.0,935.7,65.5,
datasets/email-Eu-core.edgelist,bfs,sync,pull,data,gpu,Jetson,0.377474,4.0,183.0,24761.0,916.0,67.2,
datasets/email-Eu-core.edgelist,bfs,async,push,topo,gpu,Jetson,10.882396,5.0,40.0,25516.0,910.4,75.5,
datasets/email-Eu-core.edgelist,bfs,async,push,data,gpu,Jetson,10.79774,5.0,40.0,25516.0,885.4,75.6,
datasets/email-Eu-core.edgelist,bfs,async,pull,topo,gpu,Jetson,2.138198,3.0,40.0,1727.0,868.4,69.3,
datasets/email-Eu-core.edgelist,bfs,async,pull,data,gpu,Jetson,2.221592,3.0,40.0,1727.0,854.6,70.1,
datasets/email-Eu-core.edgelist,sssp,sync,push,topo,gpu,Jetson,0.419301,5.0,,127855.0,817.1,70.4,
datasets/email-Eu-core.edgelist,sssp,sync,push,data,gpu,Jetson,0.404817,5.0,,127855.0,789.4,71.9,
datasets/email-Eu-core.edgelist,sssp,sync,pull,topo,gpu,Jetson,0.705089,5.0,,127855.0,772.1,69.0,
datasets/email-Eu-core.edgelist,sssp,sync,pull,data,gpu,Jetson,0.043228,0.7142857142857143,,18265.0,765.3,73.3,
datasets/email-Eu-core.edgelist,sssp,async,push,topo,gpu,Jetson,0.798616,5.0,,127855.0,756.0,70.9,
datasets/email-Eu-core.edgelist,sssp,async,push,data,gpu,Jetson,0.362305,5.0,,127855.0,752.9,73.0,
datasets/email-Eu-core.edgelist,sssp,async,pull,topo,gpu,Jetson,0.487236,5.0,,127855.0,752.4,69.2,
datasets/email-Eu-core.edgelist,sssp,async,pull,data,gpu,Jetson,0.441792,5.0,,127855.0,739.5,68.8,
datasets/email-Eu-core.edgelist,pagerank,sync,pull,topo,gpu,Jetson,0.339829,20.0,,511420.0,738.3,71.9,
datasets/email-Eu-core.edgelist,pagerank,sync,pull,data,gpu,Jetson,0.511863,20.0,,511420.0,736.7,74.1,
