graph,algo,mode,access,activation,backend,platform,time_s,iterations,unreachable,edges,rss_MB,cpu_pct,avg_watt
datasets/CA-GrQc.edgelist,bfs,sync,push,topo,hyb,Jetson,,,,,185.0,,
datasets/CA-GrQc.edgelist,bfs,sync,push,data,hyb,Jetson,,,,,185.0,,
datasets/CA-GrQc.edgelist,bfs,sync,pull,topo,hyb,Jetson,,,,,185.0,,
datasets/CA-GrQc.edgelist,bfs,sync,pull,data,hyb,Jetson,,,,,185.0,,
datasets/CA-GrQc.edgelist,bfs,async,push,topo,hyb,Jetson,,,,,185.0,,
datasets/CA-GrQc.edgelist,bfs,async,push,data,hyb,Jetson,,,,,185.0,,
datasets/CA-GrQc.edgelist,bfs,async,pull,topo,hyb,Jetson,,,,,185.0,,
datasets/CA-GrQc.edgelist,bfs,async,pull,data,hyb,Jetson,,,,,185.0,,
datasets/email-Eu-core.edgelist,bfs,sync,push,topo,hyb,Jetson,,,,,186.0,,
datasets/email-Eu-core.edgelist,bfs,sync,push,data,hyb,Jetson,,,,,186.0,,
datasets/email-Eu-core.edgelist,bfs,sync,pull,topo,hyb,Jetson,,,,,186.0,,
datasets/email-Eu-core.edgelist,bfs,sync,pull,data,hyb,Jetson,,,,,186.0,,
datasets/email-Eu-core.edgelist,bfs,async,push,topo,hyb,Jetson,,,,,186.0,,
datasets/email-Eu-core.edgelist,bfs,async,push,data,hyb,Jetson,,,,,186.0,,
datasets/email-Eu-core.edgelist,bfs,async,pull,topo,hyb,Jetson,,,,,186.0,,
datasets/email-Eu-core.edgelist,bfs,async,pull,data,hyb,Jetson,,,,,186.0,,
datasets/CA-GrQc.edgelist,bfs,sync,push,topo,hyb,Jetson,13.329701,11.0,1084.0,26850.0,2093.0,70.9,
datasets/CA-GrQc.edgelist,bfs,sync,push,data,hyb,Jetson,1.291604,11.0,1084.0,26850.0,2109.4,67.2,
datasets/CA-GrQc.edgelist,bfs,sync,pull,topo,hyb,Jetson,1.285348,11.0,1084.0,26850.0,2109.7,76.4,
datasets/CA-GrQc.edgelist,bfs,sync,pull,data,hyb,Jetson,1.328978,11.0,1084.0,26850.0,2109.7,76.1,
datasets/CA-GrQc.edgelist,bfs,async,push,topo,hyb,Jetson,1.341549,11.0,1084.0,26850.0,2109.7,72.4,
datasets/CA-GrQc.edgelist,bfs,async,push,data,hyb,Jetson,1.360716,11.0,1084.0,26850.0,2110.0,69.6,
datasets/CA-GrQc.edgelist,bfs,async,pull,topo,hyb,Jetson,1.421378,11.0,1084.0,26850.0,2110.0,69.2,
datasets/CA-GrQc.edgelist,bfs,async,pull,data,hyb,Jetson,1.284918,11.0,1084.0,26850.0,2110.0,70.4,
datasets/email-Eu-core.edgelist,bfs,sync,push,topo,hyb,Jetson,0.899307,5.0,40.0,25516.0,2110.3,73.1,
datasets/email-Eu-core.edgelist,bfs,sync,push,data,hyb,Jetson,0.845293,5.0,40.0,25516.0,2110.5,78.9,
datasets/email-Eu-core.edgelist,bfs,sync,pull,topo,hyb,Jetson,0.894153,5.0,40.0,25516.0,2110.5,74.9,
datasets/email-Eu-core.edgelist,bfs,sync,pull,data,hyb,Jetson,0.807611,5.0,40.0,25516.0,2110.5,77.1,
datasets/email-Eu-core.edgelist,bfs,async,push,topo,hyb,Jetson,0.936694,5.0,40.0,25516.0,2110.5,71.8,
datasets/email-Eu-core.edgelist,bfs,async,push,data,hyb,Jetson,0.831525,5.0,40.0,25516.0,2110.8,73.1,
datasets/email-Eu-core.edgelist,bfs,async,pull,topo,hyb,Jetson,0.978021,5.0,40.0,25516.0,2110.8,69.1,
datasets/email-Eu-core.edgelist,bfs,async,pull,data,hyb,Jetson,0.852487,5.0,40.0,25516.0,2110.8,72.9,
datasets/roadNet-PA.edgelist,bfs,sync,push,topo,hyb,Jetson,56.714296,593.0,530.0,3083028.0,2177.5,104.1,
datasets/roadNet-PA.edgelist,bfs,sync,push,data,hyb,Jetson,56.704323,593.0,530.0,3083028.0,2177.5,104.7,
datasets/roadNet-PA.edgelist,bfs,sync,pull,topo,hyb,Jetson,56.699191,593.0,530.0,3083028.0,2177.5,103.4,
datasets/roadNet-PA.edgelist,bfs,sync,pull,data,hyb,Jetson,56.773547,593.0,530.0,3083028.0,2177.5,102.8,
datasets/roadNet-PA.edgelist,bfs,async,push,topo,hyb,Jetson,56.668337,593.0,530.0,3083028.0,2177.5,104.5,
datasets/roadNet-PA.edgelist,bfs,async,push,data,hyb,Jetson,56.734411,593.0,530.0,3083028.0,2177.5,104.0,
datasets/roadNet-PA.edgelist,bfs,async,pull,topo,hyb,Jetson,56.707398,593.0,530.0,3083028.0,2177.5,103.2,
datasets/roadNet-PA.edgelist,bfs,async,pull,data,hyb,Jetson,56.594989,593.0,530.0,3083028.0,2177.6,102.9,
