graph,algo,mode,access,activation,backend,platform,time_s,iterations,unreachable,edges,rss_MB,cpu_pct,avg_watt
datasets/ca-GrQc.edgelist,bfs,sync,push,topo,cpu,PC,0.008281,12,,26850,120.0,0.0,
datasets/ca-GrQc.edgelist,bfs,sync,push,data,cpu,PC,0.008386,12,,26850,122.2,0.0,
datasets/ca-GrQc.edgelist,bfs,sync,pull,topo,cpu,PC,0.009539,12,,26850,128.4,0.0,
datasets/ca-GrQc.edgelist,bfs,sync,pull,data,cpu,PC,0.009801,12,,26850,136.3,0.0,
datasets/ca-GrQc.edgelist,bfs,async,push,topo,cpu,PC,0.009764,12,,26850,144.3,0.0,
datasets/ca-GrQc.edgelist,bfs,async,push,data,cpu,PC,0.01319,11,1084,26850,152.3,0.0,
datasets/ca-GrQc.edgelist,bfs,async,pull,topo,cpu,PC,0.010336,12,,26850,160.3,0.0,
datasets/ca-GrQc.edgelist,bfs,async,pull,data,cpu,PC,0.011787,11,1084,26850,129.9,0.0,
datasets/ca-GrQc.edgelist,sssp,sync,push,topo,cpu,PC,0.006977,0,,26850,130.6,0.0,
datasets/ca-GrQc.edgelist,sssp,sync,push,data,cpu,PC,0.006397,0,,26850,136.4,0.0,
datasets/ca-GrQc.edgelist,sssp,sync,pull,topo,cpu,PC,0.006896,0,,26850,144.3,0.0,
datasets/ca-GrQc.edgelist,sssp,sync,pull,data,cpu,PC,0.007854,0,,26850,152.2,0.0,
datasets/ca-GrQc.edgelist,sssp,async,push,topo,cpu,PC,0.011071,0,,26850,160.3,0.0,
datasets/ca-GrQc.edgelist,sssp,async,push,data,cpu,PC,0.007052,0,,26850,133.0,0.0,
datasets/ca-GrQc.edgelist,sssp,async,pull,topo,cpu,PC,0.005144,0,,26850,135.2,0.0,
datasets/ca-GrQc.edgelist,sssp,async,pull,data,cpu,PC,0.005619,0,,26850,136.4,0.0,
datasets/ca-GrQc.edgelist,pagerank,sync,pull,topo,cpu,PC,0.100075,26606,,242646,144.4,0.0,
datasets/ca-GrQc.edgelist,pagerank,async,push,data,cpu,PC,0.08808,26606,,242646,152.4,0.0,
datasets/ca-GrQc.edgelist,pagerank,async,pull,data,cpu,PC,0.098547,26606,,242646,160.6,0.0,
datasets/email-Eu-core.edgelist,bfs,sync,push,topo,cpu,PC,0.006328,5,,25516,136.5,0.0,
datasets/email-Eu-core.edgelist,bfs,sync,push,data,cpu,PC,0.007215,5,,25516,137.5,0.0,
datasets/email-Eu-core.edgelist,bfs,sync,pull,topo,cpu,PC,0.006359,5,,25516,140.4,0.0,
datasets/email-Eu-core.edgelist,bfs,sync,pull,data,cpu,PC,0.005761,5,,25516,141.9,0.0,
datasets/email-Eu-core.edgelist,bfs,async,push,topo,cpu,PC,0.007637,5,,25516,144.2,0.0,
datasets/email-Eu-core.edgelist,bfs,async,push,data,cpu,PC,0.006855,4,40,25516,146.0,0.0,
datasets/email-Eu-core.edgelist,bfs,async,pull,topo,cpu,PC,0.005942,5,,25516,148.4,0.0,
datasets/email-Eu-core.edgelist,bfs,async,pull,data,cpu,PC,0.007182,4,40,25516,151.1,0.0,
datasets/email-Eu-core.edgelist,sssp,sync,push,topo,cpu,PC,0.006568,0,,25516,156.3,0.0,
datasets/email-Eu-core.edgelist,sssp,sync,push,data,cpu,PC,0.004683,0,,25516,161.1,0.0,
datasets/email-Eu-core.edgelist,sssp,sync,pull,topo,cpu,PC,0.004039,0,,25516,165.7,0.0,
datasets/email-Eu-core.edgelist,sssp,sync,pull,data,cpu,PC,0.005063,0,,25516,170.6,0.0,
datasets/email-Eu-core.edgelist,sssp,async,push,topo,cpu,PC,0.00311,0,,25516,175.7,0.0,
datasets/email-Eu-core.edgelist,sssp,async,push,data,cpu,PC,0.003749,0,,25516,180.6,0.0,
datasets/email-Eu-core.edgelist,sssp,async,pull,topo,cpu,PC,0.003844,0,,25516,185.5,0.0,
datasets/email-Eu-core.edgelist,sssp,async,pull,data,cpu,PC,0.005513,0,,25516,141.8,0.0,
datasets/email-Eu-core.edgelist,pagerank,sync,pull,topo,cpu,PC,0.312649,24584,,1183183,143.1,0.0,
datasets/email-Eu-core.edgelist,pagerank,async,push,data,cpu,PC,0.295995,24584,,1183183,145.2,0.0,
datasets/email-Eu-core.edgelist,pagerank,async,pull,data,cpu,PC,0.294628,24584,,1183183,147.4,0.0,
datasets/roadNet-PA.edgelist,bfs,sync,push,topo,cpu,PC,1.755438,542,,3083028,1155.2,0.0,
datasets/roadNet-PA.edgelist,bfs,sync,push,data,cpu,PC,1.855291,542,,3083028,1159.3,0.0,
datasets/roadNet-PA.edgelist,bfs,sync,pull,topo,cpu,PC,1.819898,542,,3083028,1157.3,0.0,
datasets/roadNet-PA.edgelist,bfs,sync,pull,data,cpu,PC,1.876252,542,,3083028,1157.4,0.0,
datasets/roadNet-PA.edgelist,bfs,async,push,topo,cpu,PC,1.944234,542,,3083028,1157.6,0.0,
