graph,algo,mode,access,activation,backend,platform,time_s,iterations,unreachable,edges
datasets/ca-GrQc.edgelist,bfs,sync,push,topo,cpu,PC,0.007662,12,,
datasets/ca-GrQc.edgelist,bfs,sync,push,data,cpu,PC,0.007696,12,,
datasets/ca-GrQc.edgelist,bfs,sync,pull,topo,cpu,PC,0.009343,12,,
datasets/ca-GrQc.edgelist,bfs,sync,pull,data,cpu,PC,0.008811,12,,
datasets/ca-GrQc.edgelist,bfs,async,push,topo,cpu,PC,0.008306,12,,
datasets/ca-GrQc.edgelist,bfs,async,push,data,cpu,PC,0.011319,11,1084,
datasets/ca-GrQc.edgelist,bfs,async,pull,topo,cpu,PC,0.009533,12,,
datasets/ca-GrQc.edgelist,bfs,async,pull,data,cpu,PC,0.008064,11,1084,
datasets/ca-GrQc.edgelist,sssp,sync,push,topo,cpu,PC,0.005512,0,,
datasets/ca-GrQc.edgelist,sssp,sync,push,data,cpu,PC,0.005722,0,,
datasets/ca-GrQc.edgelist,sssp,sync,pull,topo,cpu,PC,0.004753,0,,
datasets/ca-GrQc.edgelist,sssp,sync,pull,data,cpu,PC,0.004741,0,,
datasets/ca-GrQc.edgelist,sssp,async,push,topo,cpu,PC,0.006145,0,,
datasets/ca-GrQc.edgelist,sssp,async,push,data,cpu,PC,0.005841,0,,
datasets/ca-GrQc.edgelist,sssp,async,pull,topo,cpu,PC,0.006937,0,,
datasets/ca-GrQc.edgelist,sssp,async,pull,data,cpu,PC,0.005983,0,,
datasets/ca-GrQc.edgelist,pagerank,sync,push,topo,cpu,PC,0.104803,20,,
datasets/ca-GrQc.edgelist,pagerank,sync,pull,topo,cpu,PC,0.100013,20,,
datasets/ca-GrQc.edgelist,pagerank,async,push,data,cpu,PC,0.134988,20,,
datasets/ca-GrQc.edgelist,pagerank,async,pull,data,cpu,PC,0.145791,20,,
datasets/email-Eu-core.edgelist,bfs,sync,push,topo,cpu,PC,0.005168,5,,
datasets/email-Eu-core.edgelist,bfs,sync,push,data,cpu,PC,0.004784,5,,
datasets/email-Eu-core.edgelist,bfs,sync,pull,topo,cpu,PC,0.00555,5,,
datasets/email-Eu-core.edgelist,bfs,sync,pull,data,cpu,PC,0.006144,5,,
datasets/email-Eu-core.edgelist,bfs,async,push,topo,cpu,PC,0.005069,5,,
datasets/email-Eu-core.edgelist,bfs,async,push,data,cpu,PC,0.005734,4,40,
datasets/email-Eu-core.edgelist,bfs,async,pull,topo,cpu,PC,0.006585,5,,
datasets/email-Eu-core.edgelist,bfs,async,pull,data,cpu,PC,0.006181,4,40,
datasets/email-Eu-core.edgelist,sssp,sync,push,topo,cpu,PC,0.003085,0,,
datasets/email-Eu-core.edgelist,sssp,sync,push,data,cpu,PC,0.003241,0,,
datasets/email-Eu-core.edgelist,sssp,sync,pull,topo,cpu,PC,0.003583,0,,
datasets/email-Eu-core.edgelist,sssp,sync,pull,data,cpu,PC,0.002845,0,,
datasets/email-Eu-core.edgelist,sssp,async,push,topo,cpu,PC,0.002999,0,,
datasets/email-Eu-core.edgelist,sssp,async,push,data,cpu,PC,0.003287,0,,
datasets/email-Eu-core.edgelist,sssp,async,pull,topo,cpu,PC,0.002932,0,,
datasets/email-Eu-core.edgelist,sssp,async,pull,data,cpu,PC,0.003035,0,,
datasets/email-Eu-core.edgelist,pagerank,sync,push,topo,cpu,PC,0.068541,20,,
datasets/email-Eu-core.edgelist,pagerank,sync,pull,topo,cpu,PC,0.064341,20,,
datasets/email-Eu-core.edgelist,pagerank,async,push,data,cpu,PC,0.068374,20,,
datasets/email-Eu-core.edgelist,pagerank,async,pull,data,cpu,PC,0.068321,20,,
datasets/roadNet-PA.edgelist,bfs,sync,push,topo,cpu,PC,1.790739,542,,
datasets/roadNet-PA.edgelist,bfs,sync,push,data,cpu,PC,1.720489,542,,
datasets/roadNet-PA.edgelist,bfs,sync,pull,topo,cpu,PC,1.54411,542,,
datasets/roadNet-PA.edgelist,bfs,sync,pull,data,cpu,PC,1.705629,542,,
datasets/roadNet-PA.edgelist,bfs,async,push,topo,cpu,PC,1.71163,542,,
datasets/roadNet-PA.edgelist,bfs,async,push,data,cpu,PC,1.844767,541,530,
datasets/roadNet-PA.edgelist,bfs,async,pull,topo,cpu,PC,1.688769,542,,
datasets/roadNet-PA.edgelist,bfs,async,pull,data,cpu,PC,1.751041,541,530,
datasets/roadNet-PA.edgelist,sssp,sync,push,topo,cpu,PC,1.398073,0,,
datasets/roadNet-PA.edgelist,sssp,sync,push,data,cpu,PC,1.257276,0,,
datasets/roadNet-PA.edgelist,sssp,sync,pull,topo,cpu,PC,1.313499,0,,
datasets/roadNet-PA.edgelist,sssp,sync,pull,data,cpu,PC,1.28865,0,,
datasets/roadNet-PA.edgelist,sssp,async,push,topo,cpu,PC,1.498845,0,,
datasets/roadNet-PA.edgelist,sssp,async,push,data,cpu,PC,1.503601,0,,
datasets/roadNet-PA.edgelist,sssp,async,pull,topo,cpu,PC,1.448077,0,,
datasets/roadNet-PA.edgelist,sssp,async,pull,data,cpu,PC,1.401382,0,,
datasets/roadNet-PA.edgelist,pagerank,sync,push,topo,cpu,PC,16.787156,20,,
datasets/roadNet-PA.edgelist,pagerank,sync,pull,topo,cpu,PC,17.473163,20,,
datasets/roadNet-PA.edgelist,pagerank,async,push,data,cpu,PC,17.313465,20,,
datasets/roadNet-PA.edgelist,pagerank,async,pull,data,cpu,PC,16.143251,20,,
