graph,algo,mode,access,activation,backend,platform,time_s,iterations,unreachable,edges,rss_MB,cpu_pct,avg_watt
datasets\CA-GrQc.edgelist,bfs,sync,push,topo,cpu,PC,0.010355,0.3793103448275862,,925.8620689655172,336.6,97.6,
datasets\CA-GrQc.edgelist,bfs,sync,push,data,cpu,PC,0.010186,0.36666666666666664,,895.0,336.6,95.5,
datasets\CA-GrQc.edgelist,bfs,sync,pull,topo,cpu,PC,0.024754,0.46153846153846156,,0.0,336.6,96.0,
datasets\CA-GrQc.edgelist,bfs,sync,pull,data,cpu,PC,0.024135,0.46153846153846156,,0.0,336.6,98.3,
datasets\CA-GrQc.edgelist,bfs,async,push,topo,cpu,PC,0.016454,218.8421052631579,,1413.157894736842,336.6,89.2,
datasets\CA-GrQc.edgelist,bfs,async,push,data,cpu,PC,0.016075,218.8421052631579,,1413.157894736842,336.6,100.7,
datasets\CA-GrQc.edgelist,bfs,async,pull,topo,cpu,PC,0.02468,0.38461538461538464,,319.7692307692308,336.6,91.7,
datasets\CA-GrQc.edgelist,bfs,async,pull,data,cpu,PC,0.024836,0.38461538461538464,,319.7692307692308,336.6,91.1,
datasets\CA-GrQc.edgelist,sssp,sync,push,topo,cpu,PC,0.013738,0.5,49.27272727272727,1220.4545454545455,336.6,96.9,
datasets\CA-GrQc.edgelist,sssp,sync,push,data,cpu,PC,0.013448,0.4782608695652174,47.130434782608695,1167.391304347826,336.6,94.8,
datasets\CA-GrQc.edgelist,sssp,sync,pull,topo,cpu,PC,0.027185,0.4166666666666667,90.33333333333333,346.4166666666667,336.6,94.8,
datasets\CA-GrQc.edgelist,sssp,sync,pull,data,cpu,PC,0.028603,0.45454545454545453,98.54545454545455,377.90909090909093,336.6,88.7,
datasets\CA-GrQc.edgelist,sssp,async,push,topo,cpu,PC,0.019291,259.875,67.75,1678.125,336.6,95.0,
datasets\CA-GrQc.edgelist,sssp,async,push,data,cpu,PC,0.019277,259.875,67.75,1678.125,336.6,94.8,
datasets\CA-GrQc.edgelist,sssp,async,pull,topo,cpu,PC,0.024535,0.38461538461538464,83.38461538461539,319.7692307692308,336.6,87.5,
datasets\CA-GrQc.edgelist,sssp,async,pull,data,cpu,PC,0.025608,0.4166666666666667,90.33333333333333,346.4166666666667,336.6,95.2,
datasets\CA-GrQc.edgelist,pagerank,sync,pull,topo,cpu,PC,23.099893,20.0,,579600.0,336.6,99.5,
datasets\CA-GrQc.edgelist,pagerank,sync,pull,data,cpu,PC,23.020674,20.0,,579600.0,336.5,98.7,
datasets\email-Eu-core.edgelist,bfs,sync,push,topo,cpu,PC,0.005702,0.09433962264150944,,481.4339622641509,337.0,93.6,
datasets\email-Eu-core.edgelist,bfs,sync,push,data,cpu,PC,0.005616,0.09259259259259259,,472.51851851851853,337.0,93.2,
datasets\email-Eu-core.edgelist,bfs,sync,pull,topo,cpu,PC,0.001709,0.017045454545454544,,0.0,337.0,99.0,
datasets\email-Eu-core.edgelist,bfs,sync,pull,data,cpu,PC,0.001766,0.01764705882352941,,0.0,337.0,94.1,
datasets\email-Eu-core.edgelist,bfs,async,push,topo,cpu,PC,0.006302,20.104166666666668,,531.5833333333334,337.0,98.4,
datasets\email-Eu-core.edgelist,bfs,async,push,data,cpu,PC,0.006295,20.104166666666668,,531.5833333333334,337.0,98.1,
datasets\email-Eu-core.edgelist,bfs,async,pull,topo,cpu,PC,0.001794,0.011904761904761904,,4.886904761904762,337.0,79.0,
