graph,algo,mode,access,activation,backend,platform,time_s,iterations,unreachable,edges,rss_MB,cpu_pct,avg_watt
datasets\CA-GrQc.edgelist,bfs,sync,push,topo,cpu,PC,0.012592,0.4583333333333333,,1118.75,336.9,58.4,
datasets\CA-GrQc.edgelist,bfs,sync,push,data,cpu,PC,0.011376,0.4074074074074074,,994.4444444444445,337.0,67.8,
datasets\CA-GrQc.edgelist,bfs,sync,pull,topo,cpu,PC,0.025944,0.5,,0.0,337.0,55.8,
datasets\CA-GrQc.edgelist,bfs,sync,pull,data,cpu,PC,0.026414,0.5,,0.0,337.0,74.3,
datasets\CA-GrQc.edgelist,bfs,async,push,topo,cpu,PC,0.017307,231.0,,1491.6666666666667,337.0,71.8,
datasets\CA-GrQc.edgelist,bfs,async,push,data,cpu,PC,0.017801,244.58823529411765,,1579.4117647058824,337.0,71.8,
datasets\CA-GrQc.edgelist,bfs,async,pull,topo,cpu,PC,0.026816,0.4166666666666667,,346.4166666666667,337.0,87.6,
datasets\CA-GrQc.edgelist,bfs,async,pull,data,cpu,PC,0.026725,0.4166666666666667,,346.4166666666667,337.0,89.9,
datasets\CA-GrQc.edgelist,sssp,sync,push,topo,cpu,PC,0.014566,0.5238095238095238,51.61904761904762,1278.5714285714287,337.0,57.5,
datasets\CA-GrQc.edgelist,sssp,sync,push,data,cpu,PC,0.014436,0.5238095238095238,51.61904761904762,1278.5714285714287,337.0,68.7,
datasets\CA-GrQc.edgelist,sssp,sync,pull,topo,cpu,PC,0.026653,0.4166666666666667,90.33333333333333,346.4166666666667,337.0,93.2,
datasets\CA-GrQc.edgelist,sssp,sync,pull,data,cpu,PC,0.028686,0.45454545454545453,98.54545454545455,377.90909090909093,337.0,73.7,
datasets\CA-GrQc.edgelist,sssp,async,push,topo,cpu,PC,0.020334,277.2,72.26666666666667,1790.0,337.0,72.9,
datasets\CA-GrQc.edgelist,sssp,async,push,data,cpu,PC,0.01964,259.875,67.75,1678.125,337.0,72.0,
datasets\CA-GrQc.edgelist,sssp,async,pull,topo,cpu,PC,0.025561,0.4166666666666667,90.33333333333333,346.4166666666667,337.0,78.3,
datasets\CA-GrQc.edgelist,sssp,async,pull,data,cpu,PC,0.024984,0.38461538461538464,83.38461538461539,319.7692307692308,337.0,75.9,
datasets\CA-GrQc.edgelist,pagerank,sync,pull,topo,cpu,PC,22.865225,20.0,,579600.0,337.1,93.9,
